"Get every new product delivered to your Inbox.","Get every new product delivered to your Inbox."
"Your subscription did not succeed, please try again with a valid email address.","Your subscription did not succeed, please try again with a valid email address."
"We sent you a confirmation email.","We sent you a confirmation email."
"Powered by apptha.com","Powered by apptha.com"
"Apptha","Apptha"
"Advanced Subscribe","Advanced Subscribe"
"General Settings","General Settings"
"Enable Advance subscribe","Enable Advance subscribe"
"Select yes for Enable this module","Select yes for Enable this module"
"Follow Popup Settings","Follow Popup Settings"
"Message for Notification","Message for Notification"
"Get every new product delivered to your Inbox.","Get every new product delivered to your Inbox."
"Invalide Email Id Error Message","Invalide Email Id Error Message"
"Your subscription did not succeed, please try again with a valid email address.","Your subscription did not succeed, please try again with a valid email address."
"Subscription Succeed Message","Subscription Succeed Message"
"We sent you a confirmation email.","We sent you a confirmation email."
"Powered by lable Message","Powered by lable Message"
"powered by message","powered by message"
"Confirm Email Template","Confirm Email Template"
"Email Sender","Email Sender"
"Notify Email Template","Notify Email Template"
"Select the email template to be sent to users","Select the email template to be sent to users"
"Add New Product Email Template","Add New Product Email Template"
"Email Sender","Email Sender"
"Notify Email Template","Notify Email Template"
"Select the email template to be sent to users","Select the email template to be sent to users"
"Subscriber Email Template","Subscriber Email Template"
"Followers Details","Followers Details"
"ID","ID"
"Email Id","Email Id"
"Category IDs","Category IDs"
"Status","Status"
"Is Follower","Is Follower"
"Created On","Created On"
"Modified On","Modified On"
"Delete","Delete"
"Are you sure?","Are you sure?"
"CSV","CSV"
"XML","XML"
"Enter your email address","Enter your email address"
"Follow","Follow"
"other followers","other followers"
"Your options have been updated","Your options have been updated"
"This is the management page for following products. You will receive an email at ","This is the management page for following products. You will receive an email at "
" whenever a new product is made on these shop. Unfollow a blog to stop receiving emails from that blog."," whenever a new product is made on these shop. Unfollow a blog to stop receiving emails from that blog."
"Select Categories","Select Categories"
"APPTHA","APPTHA"
"Join","Join"
"other followers","other followers"
"Sign me up","Sign me up"
"sending mail ...","sending mail ..."
"We already sent you a confirmation do u want send again?","We already sent you a confirmation do u want send again?"
"mail sending cancelled","mail sending cancelled"
"You are already Subscriber","You are already Subscriber"
"Sending mail fail","Sending mail fail"
"Invalid argument supplied.","Invalid argument supplied."
"Invalid argument supplied.","Invalid argument supplied."
"Subscriber successfully added.","Subscriber successfully added."
"You are subscribtion will be stopped.","You are subscribtion will be stopped."
"Unsubscribed successfully.","Unsubscribed successfully."
"Delete Your Subscription","Delete Your Subscription"
"You are about to delete your subscription to the site","You are about to delete your subscription to the site"
". Please confirm this below.",". Please confirm this below."
"Yes, I want to delete my subscription","Yes, I want to delete my subscription"
"We're sorry that you've decided to stop your subscription. If you change your mind in the future we're only a few clicks away." , "We're sorry that you've decided to stop your subscription. If	you change your mind in the future we're only a few clicks away."
"Confirm Deletion","Confirm Deletion"
"I don't want any more emails!","I don't want any more emails!"
"You can prevent from sending you any more subscription emails by clicking below.","You can prevent from sending you any more subscription emails by clicking below."
"Stop All Emails","Stop All Emails"
"It is not a valide Email ID","It is not a valide Email ID"
"Save Changes","Save Changes"
"If you don't select any category default all categories will select","If you don't select any category default all categories will select"
"Sno","Sno"
"Select","Select"
"Category Name","Category Name"
"Select Categories","Select Categories"














